Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,184628605,190731422,197157159,203834190,210648811,217572788,224549844,231570113,238565130,245453259,254215138,261046309,265656619,272107828,278384965,286096964,292041181,297891731,303641740,309436741,315326801,321297208,327362252,333608779,340143481,448912962,456707404,464510000,472453000,480489000,488529000,496439000,504134000
Middle East & North Africa (excluding high income),MNA,Population growth (annual %),SP.POP.GROW,3.001321947,3.09071014,3.155244939,3.18287252,3.16664769,3.117187115,3.058854685,2.995391773,2.910839863,2.80478646,3.590942707,2.58217443,2.467551688,2.354899922,2.246229285,2.143888923,2.044675091,1.955262604,1.866331285,1.822049224,1.796829388,1.779357817,1.764405744,1.755938627,1.752762931,1.686366943,1.713352647,1.716983524,1.742295731,1.752405433,1.735879973,1.683252322,1.6091889
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,166616401,171766031,177185670,182825264,188614696,194494169,200443463,206447530,212456887,218415849,226259037,232101440,237828663,243429290,248897270,254233351,259431597,264504166,269440690,274350032,279279634,284249018,289264324,294343628,299502774,382896715,389457086,396144000,403046000,410109000,417228000,424251000,431078000
Middle East & North Africa (IDA & IBRD countries),TMN,Population growth (annual %),SP.POP.GROW,3.001321947,3.09071014,3.155244939,3.18287252,3.16664769,3.117187115,3.058854685,2.995391773,2.910839863,2.80478646,2.685217225,2.564555808,2.448556041,2.33447492,2.224336906,2.120509629,2.019757531,1.928818939,1.858868495,1.814071936,1.788527207,1.770805329,1.755625008,1.746995467,1.743711111,1.675843296,1.703325775,1.708082646,1.734024286,1.745158617,1.728555982,1.676130848,1.60172034
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,166616401,171766031,177185670,182825264,188614696,194494169,200443463,206447530,212456887,218415849,224280789,230032595,235665072,241166614,246530972,251758685,256843600,261797648,266664122,271501601,276357481,281251234,286188951,291188659,296266148,378327628,384771780,391344000,398130000,405078000,412080000,418987000,425698000
Middle income,MIC,Population growth (annual %),SP.POP.GROW,1.971871624,1.993674222,2.055576634,2.045156379,1.999863718,1.99411466,2.008171619,2.019457628,1.991069118,1.929073849,1.907097473,1.795618966,1.715168179,1.652636164,1.609684032,1.567359243,1.538275244,1.511454404,1.468084546,1.412673335,1.370031229,1.32802433,1.29224033,1.264697082,1.243556562,1.077165467,1.035650534,1.013079019,0.983994812,0.954525705,0.926295755,0.89989967,0.875510563
Middle income,MIC,"Population, total",SP.POP.TOTL,3240742760,3305352613,3373296669,3442285861,3511126887,3581142783,3653058276,3726830240,3801034006,3874358759,3948246557,4019142021,4088077066,4155638106,4222530749,4288712975,4354685185,4420504266,4485401006,4548765070,4611084572,4672320897,4732698512,4792552812,4852150917,5710089607,5769226180,5827673000,5885017000,5941191000,5996224000,6050184000,6103154000
Moldova,MDA,Population growth (annual %),SP.POP.GROW,0.887324129,0.967047911,1.015515467,1.033905788,1.023325474,0.956940743,0.892348872,0.856945911,0.740445231,0.572135161,0.406673095,0.216195569,0.053992734,-0.134986082,-0.297673053,-0.404625924,-0.200247307,-0.369845328,-0.04037573,-0.157023972,-0.203364953,-0.223624845,-0.231581522,-0.28158449,-0.247453023,-1.798515374,-1.805225538,..,..,..,..,..,..
Moldova,MDA,"Population, total",SP.POP.TOTL,2728099,2754609,2782725,2811645,2840565,2867878,2893584,2918487,2940177,2957047,2969097,2975523,2977130,2973114,2964277,2952307,2946401,2935524,2934339,2929735,2923783,2917252,2910504,2902320,2895147,2706049,2657637,2651000,2643000,2635000,2627000,2618000,2608000
Monaco,MCO,Population growth (annual %),SP.POP.GROW,1.321082839,1.54713977,1.697461773,1.686925367,1.459209385,1.12309785,0.72227432,0.436359331,0.208914918,0.259678282,0.452820684,0.623097173,0.816989768,0.93650182,0.954101756,0.919042952,0.904220969,0.915301452,0.878482956,0.908523599,0.947015251,0.999745238,1.029483938,1.052178478,1.041222856,0.7525271,0.726376735,..,..,..,..,..,..
